employee_id;first_name;last_name;email;phone;role;branch_id;hire_date;salary_zar;is_active;created_at;source_system
ST055;Zandile;Davids;zandiled@driveza.co.za;646063842;Fleet Controller;BR010;2021/10/11;45022.0;TRUE;2021-10-11T00:00:00;HR_SYSTEM
ST056;Mpho;Molefe;mphom@driveza.co.za;812826758;Customer Service Agent;BR017;2017/07/16;28894.44;TRUE;2017-07-16T00:00:00;HR_SYSTEM
ST057;Kgomotso;Gumede;kgomotsog@driveza.co.za;625777130;Customer Service Agent;BR023;2023/02/23;56944.2;TRUE;2023-02-23T00:00:00;HR_SYSTEM
ST058;David;Patel;davidp@driveza.co.za;606628502;Fleet Controller;BR003;2019/02/16;38237.3;TRUE;2019-02-16T00:00:00;HR_SYSTEM
ST059;Thabo;Smith;thabos@driveza.co.za;637946187;Branch Manager;BR005;2018/02/23;30457.35;TRUE;2018-02-23T00:00:00;HR_SYSTEM
ST060;Sipho;Nkosi;siphon@driveza.co.za;737101260;Accounts Officer;BR002;2018/04/29;21606.21;TRUE;2018-04-29T00:00:00;HR_SYSTEM
ST061;Kefilwe;Jones;kefilwej@driveza.co.za;781939094;IT Support;BR010;2019/08/05;37951.9;TRUE;2019-08-05T00:00:00;HR_SYSTEM
ST062;Rethabile;Ncube;rethabilen@driveza.co.za;769833042;Branch Manager;BR015;2017/10/16;42365.6;TRUE;2017-10-16T00:00:00;HR_SYSTEM
ST063;Thabo;Radebe;thabor@driveza.co.za;747722056;Regional Manager;BR027;2017/09/11;31177.33;TRUE;2017-09-11T00:00:00;HR_SYSTEM
ST064;Sumaya;Hendricks;sumayah@driveza.co.za;739134615;Customer Service Agent;BR013;2019/12/19;24086.91;TRUE;2019-12-19T00:00:00;HR_SYSTEM
ST065;Palesa;Naidoo;palesan@driveza.co.za;793720295;IT Support;BR001;2015/01/31;42266.14;TRUE;2015-01-31T00:00:00;HR_SYSTEM
ST066;Amahle;Banda;amahleb@driveza.co.za;844601428;Accounts Officer;BR022;2015/01/18;38540.78;TRUE;2015-01-18T00:00:00;HR_SYSTEM
ST067;Bongani;Zulu;bonganiz@driveza.co.za;792239432;IT Support;BR025;2019/06/10;59043.15;TRUE;2019-06-10T00:00:00;HR_SYSTEM
ST068;Kgomotso;Davids;kgomotsod@driveza.co.za;811562913;Driver;BR024;2017/10/15;16384.68;TRUE;2017-10-15T00:00:00;HR_SYSTEM
ST069;Nadia;Mahlangu;nadiam@driveza.co.za;743402474;Branch Manager;BR026;2016/01/01;33412.72;TRUE;2016-01-01T00:00:00;HR_SYSTEM
ST070;Xolani;Van der Merwe;xolaniv@driveza.co.za;723090270;Fleet Controller;BR029;2021/09/07;15388.14;TRUE;2021-09-07T00:00:00;HR_SYSTEM
ST071;Haroon;Maluleke;haroonm@driveza.co.za;846343123;Customer Service Agent;BR019;2020/08/21;26326.52;TRUE;2020-08-21T00:00:00;HR_SYSTEM
ST072;Nomvula;Reddy;nomvular@driveza.co.za;791548440;Regional Manager;BR021;2019/07/05;24804.95;TRUE;2019-07-05T00:00:00;HR_SYSTEM
ST073;Tumi;Ntanzi;tumin@driveza.co.za;844028148;Driver;BR006;2023/07/18;58522.62;FALSE;2023-07-18T00:00:00;HR_SYSTEM
ST074;Nandi;Singh;nandis@driveza.co.za;713723122;Fleet Controller;BR021;2016/05/16;12462.86;TRUE;2016-05-16T00:00:00;HR_SYSTEM
ST075;Anna;Zulu;annaz@driveza.co.za;814891603;Regional Manager;BR017;2022/08/25;51913.71;TRUE;2022-08-25T00:00:00;HR_SYSTEM
ST076;Johan;Ncube;johann@driveza.co.za;652906316;Driver;BR019;2022/04/22;56167.38;TRUE;2022-04-22T00:00:00;HR_SYSTEM
ST077;David;Khumalo;davidk@driveza.co.za;649410712;Mechanic;BR011;2015/09/20;49862.37;FALSE;2015-09-20T00:00:00;HR_SYSTEM
ST078;Emma;Moyo;emmam@driveza.co.za;766329554;Regional Manager;BR027;2017/02/09;55883.6;FALSE;2017-02-09T00:00:00;HR_SYSTEM
ST079;Kefilwe;Smith;kefilwes@driveza.co.za;668611089;Fleet Controller;BR032;2023/05/12;61134.01;TRUE;2023-05-12T00:00:00;HR_SYSTEM
ST080;Lisa;Chikwanda;lisac@driveza.co.za;656423908;Fleet Controller;BR019;2015/09/20;17148.69;TRUE;2015-09-20T00:00:00;HR_SYSTEM
ST081;Precious;Reddy;preddy@driveza.co.za;0259577424;Accounts Officer;BR010;2024/07/30;57989.35;TRUE;2024-07-30T00:00:00;HR_SYSTEM
ST082;Piet;Khumalo;pkhumalo@driveza.co.za;0384972853;Branch Manager;BR006;2024/09/06;43504.47;TRUE;2024-09-06T00:00:00;HR_SYSTEM
ST083;Dineo;Moyo;dmoyo@driveza.co.za;0855519259;Mechanic;BR005;2024/08/22;62915.23;TRUE;2024-08-22T00:00:00;HR_SYSTEM
ST084;Dineo;Mathye;dmathye@driveza.co.za;0981827876;Regional Manager;BR005;2024/07/16;41335.83;TRUE;2024-07-16T00:00:00;HR_SYSTEM
ST085;Ntombi;Chikwanda;nchikwanda@driveza.co.za;0307747684;Regional Manager;BR011;2024/10/15;41589.51;TRUE;2024-10-15T00:00:00;HR_SYSTEM
ST086;Sarah;Phiri;sphiri@driveza.co.za;0746305242;IT Support;BR011;2024/07/24;55387.24;TRUE;2024-07-24T00:00:00;HR_SYSTEM
ST087;Anna;Chauke;achauke@driveza.co.za;0187870680;Customer Service Agent;BR017;2024/11/25;34565.02;TRUE;2024-11-25T00:00:00;HR_SYSTEM
ST088;Mpho;Dlamini;mdlamini@driveza.co.za;0034229840;IT Support;BR024;2025/02/24;17881.73;TRUE;2025-02-24T00:00:00;HR_SYSTEM
ST089;Thabo;Mokoena;tmokoena@driveza.co.za;0665533615;Regional Manager;BR003;2025/12/17;9991.75;TRUE;2025-12-17T00:00:00;HR_SYSTEM
ST090;Lisa;Mathye;lmathye@driveza.co.za;0232839975;Fleet Controller;BR026;2025/05/07;19885.16;TRUE;2025-05-07T00:00:00;HR_SYSTEM
ST091;Lindiwe;Van der Merwe;lvandermerwe@driveza.co.za;0597682583;Mechanic;BR014;2025/11/20;51010.77;TRUE;2025-11-20T00:00:00;HR_SYSTEM
ST092;Raj;Van der Merwe;rvandermerwe@driveza.co.za;0549970317;Customer Service Agent;BR013;2025/02/11;56475.28;TRUE;2025-02-11T00:00:00;HR_SYSTEM
ST093;Mpho;Gumede;mgumede@driveza.co.za;0203657943;Accounts Officer;BR031;2025/05/07;54400.8;TRUE;2025-05-07T00:00:00;HR_SYSTEM
ST094;Musa;Pillay;mpillay@driveza.co.za;0177172748;Driver;BR010;2025/11/06;23615.32;TRUE;2025-11-06T00:00:00;HR_SYSTEM
ST095;Amahle;Naidoo;anaidoo@driveza.co.za;0064379431;Regional Manager;BR028;2025/01/13;26588.87;TRUE;2025-01-13T00:00:00;HR_SYSTEM
ST096;Omar;Sithole;osithole@driveza.co.za;0274119185;Fleet Controller;BR005;2025/08/22;26655.05;TRUE;2025-08-22T00:00:00;HR_SYSTEM
ST097;Bongani;Majola;bmajola@driveza.co.za;0043167637;Driver;BR033;2025/10/09;37655.67;TRUE;2025-10-09T00:00:00;HR_SYSTEM
ST098;Bongani;Ntanzi;bntanzi@driveza.co.za;0491117033;Mechanic;BR016;2025/03/09;28240.09;TRUE;2025-03-09T00:00:00;HR_SYSTEM
ST099;Johan;Nkosi;jnkosi@driveza.co.za;0556318841;IT Support;BR008;2025/07/25;22398.86;TRUE;2025-07-25T00:00:00;HR_SYSTEM
ST100;Bulelani;Molefe;bmolefe@driveza.co.za;0066407991;Fleet Controller;BR011;2025/10/13;30701.41;TRUE;2025-10-13T00:00:00;HR_SYSTEM
ST101;Thabo;Davids;tdavids@driveza.co.za;0074665052;Regional Manager;BR001;2025/07/22;28565.37;TRUE;2025-07-22T00:00:00;HR_SYSTEM
ST102;Zanele;Mnguni;zmnguni@driveza.co.za;0583106623;Branch Manager;BR006;2025/07/08;55750.05;TRUE;2025-07-08T00:00:00;HR_SYSTEM
ST103;Tumi;Pillay;tpillay@driveza.co.za;0332120665;Branch Manager;BR007;2025/05/12;19350.59;TRUE;2025-05-12T00:00:00;HR_SYSTEM
ST104;Piet;Majola;pmajola@driveza.co.za;0782578688;Fleet Controller;BR017;2025/02/24;12044.58;TRUE;2025-02-24T00:00:00;HR_SYSTEM
ST105;Thabo;Mbatha;tmbatha@driveza.co.za;0882008829;Branch Manager;BR027;2025/10/18;27332.09;TRUE;2025-10-18T00:00:00;HR_SYSTEM
ST106;Emma;Pillay;epillay@driveza.co.za;0945769010;Driver;BR023;2025/03/26;11801.57;TRUE;2025-03-26T00:00:00;HR_SYSTEM
ST107;Emma;Nxumalo;enxumalo@driveza.co.za;0147755320;Accounts Officer;BR007;2026/02/05;52271.35;TRUE;2026-02-05T00:00:00;HR_SYSTEM
ST108;Lisa;Mthembu;lmthembu@driveza.co.za;0781860328;Mechanic;BR018;2026/03/01;26443.91;TRUE;2026-03-01T00:00:00;HR_SYSTEM
ST109;Susan;Zulu;szulu@driveza.co.za;0577187397;Customer Service Agent;BR020;2026/04/07;22694.43;TRUE;2026-04-07T00:00:00;HR_SYSTEM
ST110;Zanele;Reddy;zreddy@driveza.co.za;0395459376;Mechanic;BR018;2026/03/26;61021.04;TRUE;2026-03-26T00:00:00;HR_SYSTEM
ST111;Zanele;Nkosi;znkosi@driveza.co.za;0004405029;Branch Manager;BR001;2026/06/29;27477.74;TRUE;2026-06-29T00:00:00;HR_SYSTEM
ST112;Emma;Zulu;ezulu@driveza.co.za;0876524515;Branch Manager;BR017;2026/05/19;35028.14;TRUE;2026-05-19T00:00:00;HR_SYSTEM
ST113;Haroon;Banda;hbanda@driveza.co.za;0023967576;Accounts Officer;BR031;2026/01/16;13481.62;TRUE;2026-01-16T00:00:00;HR_SYSTEM
ST114;Tumi;Gumede;tgumede@driveza.co.za;0221548737;Regional Manager;BR033;2026/07/14;63881.35;TRUE;2026-07-14T00:00:00;HR_SYSTEM
ST115;Sarah;Radebe;sradebe@driveza.co.za;0732503848;Mechanic;BR020;2026/01/30;14192.86;TRUE;2026-01-30T00:00:00;HR_SYSTEM
ST116;Ayanda;Majola;amajola@driveza.co.za;0881058835;IT Support;BR030;2026/01/06;35729.86;TRUE;2026-01-06T00:00:00;HR_SYSTEM
ST117;Sne;Shabalala;sshabalala@driveza.co.za;0149434274;Regional Manager;BR005;2026/01/27;37657.22;TRUE;2026-01-27T00:00:00;HR_SYSTEM
ST118;Dineo;Mahlangu;dmahlangu@driveza.co.za;0162529020;IT Support;BR025;2026/02/08;30292.63;TRUE;2026-02-08T00:00:00;HR_SYSTEM
ST119;Siyanda;Dlamini;sdlamini@driveza.co.za;0483559974;Accounts Officer;BR019;2026/07/09;16404.14;TRUE;2026-07-09T00:00:00;HR_SYSTEM
